source,subject,sender,date,body,summary,label,keywords,priority
email,Customize Gmail with colors and themes,Gmail Team <mail-noreply@google.com>,"Thu, 9 May 2013 07:26:19 -0700","To spice up your inbox with colors and themes, check out the Themes tab
under Settings.
       Customize Gmail  <https://mail.google.com/mail/#settings/themes>

Enjoy!

- The Gmail Team
[image: Themes thumbnails]

Please note that Themes are not available if you're using Internet Explorer
6.0. To take advantage of the latest Gmail features, please upgrade to a
fully supported
browser<http://support.google.com/mail/bin/answer.py?answer=6557&hl=en&utm_source=wel-eml&utm_medium=eml&utm_campaign=en>
.
","To spice up your inbox with colors and themes, check out the Themes tab
under Settings.
       Customize Gmail  <https://mail.google.com/mail/#settings/themes>

Enjoy!

- The Gmail Team
[image: Themes thumbnails]

Please note that Themes are not available if you're using Internet Explorer
...",unclassified,,low
email,Welcome to YouTube,YouTube <noreply@youtube.com>,"Fri, 07 Jun 2013 20:21:39 +0000","
Welcome to YouTube
Welcome to the YouTube community!
By signing in to your Google account, you are now also signed into YouTube.  
You'll be able to interact with everyone on YouTube and get personalized  
recommendations for cool videos to watch.
Watch what you like most
* <a  
href=""http://www.youtube.com/watch?v=0aRIlnQzw-A&feature=em-lw_welcome_email"">Subscribe  
to your favorite channels</a>
* <a href=""http://www.youtube.com/movies?feature=em-lw_welcome_email"">Rent  
or purchase top Hollywood movies</a>
* Save videos to watch later
* Get recommendations based on what you've watched
Connect with people
* <a  
href=""http://www.youtube.com/account?feature=em-lw_welcome_email#sharing/activity"">Share  
videos you like on Facebook, Twitter, and more</a>
* Watch private videos from friends and family
Happy YouTube-ing!
","
Welcome to YouTube
Welcome to the YouTube community!
By signing in to your Google account, you are now also signed into YouTube.  
You'll be able to interact with everyone on YouTube and get personalized  
recommendations for cool videos to watch.
Watch what you like most
* <a  
href=""http:...",unclassified,,low
email,Delivery Status Notification (Failure),Mail Delivery Subsystem <mailer-daemon@googlemail.com>,"Tue, 11 Jun 2013 08:40:23 +0000","Delivery to the following recipient failed permanently:

     abdulrauf08@yahoo.com

Technical details of permanent failure: 
Message rejected.  See http://support.google.com/mail/bin/answer.py?answer=69585 for more information.

----- Original message -----

MIME-Version: 1.0
X-Received: by 10.52.176.10 with SMTP id ce10mr6456489vdc.74.1370940023562;
 Tue, 11 Jun 2013 01:40:23 -0700 (PDT)
Received: by 10.58.169.51 with HTTP; Tue, 11 Jun 2013 01:40:23 -0700 (PDT)
Received: by 10.58.169.51 with HTTP; Tue, 11 Jun 2013 01:40:23 -0700 (PDT)
Date: Tue, 11 Jun 2013 09:40:23 +0100
Message-ID: <CAGiJxasWDZDhcz4+5YgM=WTWjptPNAdMs0Du8iGmpMciT7xuaQ@mail.gmail.com>
Subject: Invitation to Viber
From: adebayo adetola <tollyboy88@gmail.com>
To: Hashim <abdulrauf08@yahoo.com>
Content-Type: multipart/alternative; boundary=bcaec51a81841ce8d904dedcd9fa

Hey,

I started using Viber. Its a cool app that lets you call and text for free.

Viber is easy to use and works just like a regular phone:
 No need to create a username or log in
 Works with your phones existing contact list
 Shows which of your contacts already has it

Get Viber: www.viber.com/dl

Yours,
","Delivery to the following recipient failed permanently:

     abdulrauf08@yahoo.com

Technical details of permanent failure: 
Message rejected.  See http://support.google.com/mail/bin/answer.py?answer=69585 for more information.

----- Original message -----

MIME-Version: 1.0
X-Received: ...",mental_health,low,high
email,Suspicious sign in prevented,no-reply@accounts.google.com,"Thu, 27 Jun 2013 14:35:35 -0700 (PDT)","
Hi adebayo,

Someone recently tried to use an application to sign in to your Google  
Account - tollyboy88@gmail.com.
We prevented the sign-in attempt in case this was a hijacker trying to  
access your account. Please review the details of the sign-in attempt:

   Thursday, June 27, 2013 9:35:35 PM UTC
   IP Address: 196.35.163.117
   Location: Sandton, South Africa

If you do not recognize this sign-in attempt, someone else might be trying  
to access your account. You should sign in to your account and reset your  
password immediately. Find out how at  
http://support.google.com/accounts?p=reset_pw

If this was you, and you are having trouble accessing your account,  
complete the troubleshooting steps listed at  
http://support.google.com/mail?p=client_login

Sincerely,
The Google Accounts team

This email can't receive replies. For more information, visit the Google  
Accounts Help Center (http://support.google.com/accounts).



You have received this mandatory email service announcement to update you  
about important changes to your Google product or account.

  (c) 2013 Google Inc., 1600 Amphitheatre Parkway, Mountain View, CA 94043,  
USA

","
Hi adebayo,

Someone recently tried to use an application to sign in to your Google  
Account - tollyboy88@gmail.com.
We prevented the sign-in attempt in case this was a hijacker trying to  
access your account. Please review the details of the sign-in attempt:

   Thursday, June 27, 2013 9...",routine,update,medium
email,Help Talking Tom and you could win an iPad!,Talking Friends <newsletter@talkingfriends.com>,"Tue, 20 Aug 2013 03:34:56 +0200 (CEST)",,,unclassified,,low
email,Graboid - Must Complete to Activate Account,Graboid <support@graboid.com>,"Tue,  5 Nov 2013 12:25:35 -0600 (CST)","Welcome to Graboid, adebayo!

Thank you for signing up for Graboid's free trial. 

Click to confirm your account:

http://tracking.graboid.com/redirect/a9bddd1619d388/a9be82fc13302c/ (or you can copy and paste that url into your web browser).

Once your account is confirmed, hit ""Start"" in the Graboid desktop application. That's it! 

If you need help at any time, call us at 1-877-460-0722,  8am to 8pm EST, 7 days a week.


Best,
Graboid
","Welcome to Graboid, adebayo!

Thank you for signing up for Graboid's free trial. 

Click to confirm your account:

http://tracking.graboid.com/redirect/a9bddd1619d388/a9be82fc13302c/ (or you can copy and paste that url into your web browser).

Once your account is confirmed, hit ""Start"" in t...",routine,confirm,medium
email,Welcome to the new Gmail inbox,Gmail Team <mail-noreply@google.com>,"Tue, 5 Nov 2013 11:13:08 -0800","  Welcome to the new Gmail inbox                       * Hi adebayo *
    <https://mail.google.com/mail/help/redirect/index.html?r=inboxtabsvideo&utm_source=welcome&hl=en>
   Meet
the new inbox    Inbox tabs put you back in control with simple
organization so that you can see what's new at a glance and decide which
emails you want to read when. Watch the
video<https://mail.google.com/mail/help/redirect/index.html?r=inboxtabsvideo&utm_source=welcome&hl=en>
       Organized into categories    You choose from five optional tabs:
Primary, Social, Promotions, Updates and Forums. These categories make it
easy to read messages of the same type all at once.           Easy to
customize    Select the tabs you want from all five to none. And, if you
see a message you want in a different tab, all you have to do is drag and
drop it into the tab you choose. More
tips<https://support.google.com/mail?p=inboxtabs&hl=en>
       Get the new inbox on your mobile device    The new inbox is
available in Gmail's official mobile apps on Android 4.0+
devices<https://mail.google.com/mail/help/redirect/index.html?r=android&utm_campaign=android&utm_source=welcome&hl=en>as
well as iPhone
and iPad<https://mail.google.com/mail/help/redirect/index.html?r=apple&hl=en>.
Your mobile inbox and notifications now show primary email. It's easy to
access and keep track of email in other categories.
<https://mail.google.com/mail/help/redirect/index.html?r=android&utm_campaign=android&utm_source=msa&hl=en>
<https://mail.google.com/mail/help/redirect/index.html?r=apple&utm_campaign=apple&utm_source=msa&hl=en>
    To learn more about the new inbox, check out the help
center<https://support.google.com/mail?p=inboxtabs&hl=en>or watch
the video<https://mail.google.com/mail/help/redirect/index.html?r=inboxtabsvideo&utm_source=welcome&hl=en>
.      Happy emailing,  The Gmail Team                2013 Google Inc.
1600 Amphitheatre Parkway, Mountain View, CA 94043

You have received this mandatory email service announcement to update you
about important changes to your Gmail product or account.
","  Welcome to the new Gmail inbox                       * Hi adebayo *
    <https://mail.google.com/mail/help/redirect/index.html?r=inboxtabsvideo&utm_source=welcome&hl=en>
   Meet
the new inbox    Inbox tabs put you back in control with simple
organization so that you can see what's new at a gla...",routine,update,medium
email,The people voted! See who won at the YouTube Music Awards,YouTube <noreply@youtube.com>,"Fri, 08 Nov 2013 23:22:46 +0000","YouTube
http://www.google.com/appserve/mkt/p/wePP9h0iwHTX5CHHHfpvcdIB_YgIMi7SZFLrzYAGhtZuS7KtUUAQKzZXWYlRbUaUQc4RDn1kUVo-oov3YsIvhd4FuxPAA5aUiszdFz8G_A5EVbUSZQxAag8oyYLgF8EsnZysHUJ8Muai

View this email in a browser:  
http://www.google.com/appserve/mkt/p/qCDLG5WG_1wVIs4CEQqAHtv1fhy758f4a1cAfT7fd2G9X_31vettPPpQLEeR_9aBnAZABJyHaZ2HBkXl0jHfI2SmoSL-5eMNA4MDCC9DOeNP0eS5Bq6qcB9g-v-E


---------------------------------------------------------------------------------------------



http://www.google.com/appserve/mkt/p/gQXM3PlqnY3E5o_UIZDNhkXLtlVAhEN9Pj0jouEib6Cvb5Z3zrGRJOeitBH-qdkfhOVAP-6FvQ_XP6HAISaY5NtaL0GPgRxc3uNE4Ai-sBV-TZhFFPSpWOXZWbeNX_x4y9SOxkB3SSoxx8v-qSm9MtHcWV1OUJ2fP4R4g1IlvkY9Un3eJOFBuDWwaPEAzq8YeKhJH1HrRjB1pwEtzoPv
Arcade Fire, others rocked it at the YTMAs!
Arcade Fire, Lady Gaga, Eminem and many more gave the performances of their  
lives in the anything-can-happen atmosphere of the YouTube Music Awards,  
presented by KIA.

Watch the highlights, and head to YouTube.com/MusicAwards (  
http://www.google.com/appserve/mkt/p/KQlwo1cUAGS0PeYAbfpX9ORpQpb3f13dvX69iMpEN-Ebe8R8iTqYBKB05uR2I5UoFCKSFOQ6ZmGX_Ea54KE0nUzxuS7rwTmthOOtQTiX6ypcjPoD-CO7PMVaN16Y2DuuxqpUTef4iE4=  
) to see the winners you chose, including Eminem, Macklemore & Ryan Lewis  
and more!



----------------------------------------------------------------------------------------------



Lady Gaga - ""Dope""
http://www.google.com/appserve/mkt/p/utEUswLCdJKn9OKSQni8FBSYa2OBoouKbLbaAdVUCtHjok0jRhKZVNSGXuSy5RFTh2JWrnG7XsiINsJnxifskbGxTxcExI6Bw1-kqkRlroG18d8h1_Wyn7Keu7hrurpGoOaeOkuwWV8uqOswaorHHLuELX0YkStHzKlETmB7XoGbzsr0pOD31bR4RRaDtl-IOGHthatI5i1gcA==

Eminem - ""Rap God""
http://www.google.com/appserve/mkt/p/ePZRNZi-ClA_PvxHJS3LR2u1pCD2l_sFrJFz2inlxRi5xTjRT-nz_dMxFK4Mf_IQ-QRpJuXh0YvSTog-_CYsBPIQwj2Wpig4CIuY9J2hpulAyKkEufiihXX2gtE24fYlRfu8T-h6q8kss4bh4pyS5o658RMWLMKoUAKHRAUPvED7QchQxW_BZD7IIk15UNcyqej0vZVDl_r17UIi

Avicii - ""Hey Brother"" / ""You Make Me"" / ""Wake Me Up""
http://www.google.com/appserve/mkt/p/oY8De74IPw_1P7HNwHnz0KrUIo_Lu57nFXcDscfhcfLVKxvhTwm-fk3qSQrXcO8n6SztsCS_OfQVKWJPnXnjWD0HxFFS3Akv-EBZhFZkA_Rv24sOoMf9ZpgF3KgNtpRrSL--1IXai1RUUCcCwMW8XpGJr5B_sHNOm4T2AyK2aqebPOL_Vml0205me3AeLcuJMba5gQ3bnauGFOzM

M.I.A. - ""Come Walk With Me""
http://www.google.com/appserve/mkt/p/vmRh2GwVe7h1VCptIQrSYstn3fR4ar4-pOBSThHUlaKf2DoBmh4cmcvu1WoqliJrRjTDGzEho698BSlsA85oAa1wA0Y1eVdAy2eHKJ8UsvpERIcUrHB7COQ8eCBk0US1B9c2qmmwQ74R_hhCT3ps_tJSHZWPhKOD_QV929qww8IwB2JbpgD-__nXkizT7bo8Sxf3erTBl8QQ

Earl Sweatshirt & Tyler, the Creator - ""Sasquatch""
http://www.google.com/appserve/mkt/p/LVZpmvJunPXAHEoOTfGdFr3stDDLZM4F8mu08jsa_HO-2va42X7qiDLiiaLudsRi52_7bydOl3iPrmdETWbcT3NhwE9_5lpo5oCvVtdejisn6GUw7W9mIXTUt5Q2vLlU7Bl1aAwOOC8GwjI1X8bi7kg0PgBauHH7yvllgzM8gxVTeU7rKaVrsAcQFRxxtYaewm0dIwwgkp7oK8K3tqXg

Lindsey Stirling - 'Crystallize'
http://www.google.com/appserve/mkt/p/_oQycFRxGBiE9A1hPVAk7P-TCJV_FWzDZ5-Rz5VnBtFfMzuGENtCBh26JpoD1h85tXVxFrUBr0sPDlkhLynkOEpiX_ecnVJ5EKxo9Eb1mWoTH2OJnnBhWgmbVbPIIhcw-2Q0e-mH7FQmCWBciZA8kfCkAT2KY1KTBof9YHlZE6S-TD1BFs8Zydjm-vqXw3keNfB9z1A0yIxajUBkosbx8_GnAYjp


----------------------------------------------------------------------------------------------


The First-Ever YouTube Music Awards by YouTube Spotlight.
http://www.google.com/appserve/mkt/p/B-DV7JcbCfAlGn3frsOEDKiZ4DY7rbDty4Tz5cxBbmeHsqBvmwNJ3bxBhL6VYCTo5WsSzbffIphQPrGyUETH6MtZqRX9PsumtsQm1CUY9IPZufQpNi3T6mrsmibDjo0Rz0yTTMPhWkk8m78gLOT9pcjn
Subscribe:  
http://www.google.com/appserve/mkt/p/B-DV7JcbCfAlGn3frsOEDKiZ4DY7rbDty4Tz5cxBbmeHsqBvmwNJ3bxBhL6VYCTo5WsSzbffIphQPrGyUETH6MtZqRX9PsumtsQm1CUY9IPZufQpNi3T6mrsmibDjo0Rz0yTTMPhWkk8m78gLOT9pcjn


----------------------------------------------------------------------------------------------



Want more videos? Follow and subscribe.
Google+:  
http://www.google.com/appserve/mkt/p/U2hbwCadDYA73Pi_xS4A-NP6CPEhPGoKkNVPZjJy1lVEiG7c0uUuo7Mi2VXQaui_u3Atucuk8BSZng==
Twitter:  
http://www.google.com/appserve/mkt/p/gTERt9uINzzMbb4wwR_3HuMAJzHN15ZgbQwDkrBvkmbEZSL-BiCUYUrlo8MO2rGauXAdvg==
YouTube:  
http://www.google.com/appserve/mkt/p/MOlS27lbkghX03WMjXyGT3tHKS4j82cgRVLJwaEUmE6yq3cVQp_ZFXMivy4z584TxllJd25duh8vfvQKBL7uVZJFXQurYfIEbGCdINd8RlqrxLYYRO_qQpkWghl_PVC0yRRBkuyIKMc1Jg==



----------------------------------------------------------------------------------------------



(c) 2013 YouTube, LLC 901 Cherry Ave, San Bruno, CA 94066.

This email was sent to tollyboy88@gmail.com because you indicated that you  
are willing to receive occasional YouTube product-related emails. If you do  
not wish to receive such emails in the future, please unsubscribe here:  
http://www.google.com/appserve/mkt/p/REMSnnJikNpTqqVRLkMmiKV6u14MygzZVRtIqiB0QAsXwxBvIXyyH75XjktopjZZILHK3-yNAQZOBar55oR6HdNitNY_tUgdqBxKCDAZrqlT_IHfQ04oF8yGiZwVDf2I2VnX0inO5XKkq2WrAHUWvRPnTt237oIzL_V3syxKGKFKw87B1lXnzORWWDPo8xdtgiIVymzPwaURrk080EfLiB3OuDDv97fRHSnu47WOS_WcFEQ8stE=.  
You can also change your preferences by visiting your Email Options in your  
YouTube account at www.youtube.com/account#notifications/email
","YouTube
http://www.google.com/appserve/mkt/p/wePP9h0iwHTX5CHHHfpvcdIB_YgIMi7SZFLrzYAGhtZuS7KtUUAQKzZXWYlRbUaUQc4RDn1kUVo-oov3YsIvhd4FuxPAA5aUiszdFz8G_A5EVbUSZQxAag8oyYLgF8EsnZysHUJ8Muai

View this email in a browser:  
http://www.google.com/appserve/mkt/p/qCDLG5WG_1wVIs4CEQqAHtv1fhy758f4a1cAfT7f...",elderly_support,"low, 75",high
email,Welcome to YouTube with Google+,"""Google+ team"" <noreply-daa26fef@plus.google.com>","Fri, 15 Nov 2013 10:05:40 -0800 (PST)","YouTube is more fun with friends

Hi Adebayo,
Welcome to YouTube! Google+ makes YouTube more tubular. Find videos your  
friends and favorite celebrities post to Google+ and YouTube by adding them  
to your circles. Find people:
https://plus.google.com/_/notifications/emlink?emr=08412690570719749007&emid=CKiypN6w57oCFWLcRAod32gAAA&path=%2Fgetstarted%3Fgpsrc%3Dytf20&dt=1384538740185&ub=54

Your YouTube channel
Manage your video uploads and share videos on your new YouTube channel. By  
using your full name and photo from your Google+ profile on your YouTube  
channel, you can make it easy for your friends to find you across Google by  
using your full name.

Follow friends and interests
You'll find friends and some of the world's most creative minds on Google+,  
sharing their opinions, new shows, and favorite viral videos. Add people  
and interests to your circles to join the fun:
https://plus.google.com/_/notifications/emlink?emr=08412690570719749007&emid=CKiypN6w57oCFWLcRAod32gAAA&path=%2Fgetstarted%3Fgpsrc%3Dytf20&dt=1384538740185&ub=54

Share with the right people
Use Google+ circles to quickly and easily share YouTube videos only with  
friends who'll appreciate them.

Have a YouTube party with Google+ Hangouts
Invite up to 9 friends to a free video chat anytime, anywhere, and watch a  
YouTube video together. Learn more:
https://www.google.com/intl/en/+/learnmore/hangouts

------------------------
Click here to unsubscribe from these emails:  
https://plus.google.com/_/notifications/emlink?emr=08412690570719749007&emid=CKiypN6w57oCFWLcRAod32gAAA&path=%2F_%2Fnonplus%2Femailsettings%3Fest%3DADH5u8Ug_zcI-y29ap-yKUwj6ySBpk_2AOlGFRbkWr8MMHNRGVMG3CYQu1yTOLdtZrg9gb0714pvoy7UOQZ7u11CY11Q8AhlJJP78ZOIJ5ljKDJy7Jez65Q&dt=1384538740185&ub=54
","YouTube is more fun with friends

Hi Adebayo,
Welcome to YouTube! Google+ makes YouTube more tubular. Find videos your  
friends and favorite celebrities post to Google+ and YouTube by adding them  
to your circles. Find people:
https://plus.google.com/_/notifications/emlink?emr=08412690570719...",elderly_support,"low, old",high
email,"Congrats, your video's now on YouTube!",YouTube <noreply@youtube.com>,"Fri, 15 Nov 2013 19:51:43 +0000","Way to go, Adebayo Adetola!
Looks like you uploaded your first ever YouTube video.
Hope you enjoy your video, and welcome to the community!
Your latest fan, The YouTube team
----------------------------------------------------------------
Webcam video from November 15, 2013 7:08 PM
http://www.youtube.com/watch?v=2pqcz1gtzK0&feature=em-upload_owner
----------------------------------------------------------------
Want to spread the word about your newest videos? Forward this mail to your  
favorite contacts.
We've sent this email to tollyboy88@gmail.com to let you know that your  
upload is finished processing and is ready to be shared.
You can unsubscribe from notifications for finished uploads by visiting the  
account notifications page:
http://www.youtube.com/account_notifications?feature=em-upload_owner
","Way to go, Adebayo Adetola!
Looks like you uploaded your first ever YouTube video.
Hope you enjoy your video, and welcome to the community!
Your latest fan, The YouTube team
----------------------------------------------------------------
Webcam video from November 15, 2013 7:08 PM
http://www....",unclassified,,low
